ElapsedTime,Class1,Class2,Class3,Class4,BestClass
41.22223,66.48653,65.3443,62.87063,68.35201,2
41.23925,66.48653,65.3443,62.87063,68.35201,2
41.2559,66.48653,65.3443,62.87063,68.35201,2
41.27275,66.48653,65.3443,62.87063,68.35201,2
41.2896,66.48653,65.3443,62.87063,68.35201,2
41.30655,66.48653,65.3443,62.87063,68.35201,2
41.32354,66.48653,65.3443,62.87063,68.35201,2
41.3405,66.48653,65.3443,62.87063,68.35201,2
41.35754,66.48653,65.3443,62.87063,68.35201,2
41.37384,66.48653,65.3443,62.87063,68.35201,2
41.39069,66.48653,65.3443,62.87063,68.35201,2
41.40763,66.48653,65.3443,62.87063,68.35201,2
41.42439,78.82928,78.1151,74.19405,62.94707,3
41.44175,78.82928,78.1151,74.19405,62.94707,3
41.45873,78.82928,78.1151,74.19405,62.94707,3
41.47494,78.82928,78.1151,74.19405,62.94707,3
41.49179,78.82928,78.1151,74.19405,62.94707,3
41.50871,78.82928,78.1151,74.19405,62.94707,3
41.52575,78.82928,78.1151,74.19405,62.94707,3
41.54284,78.82928,78.1151,74.19405,62.94707,3
41.55919,78.82928,78.1151,74.19405,62.94707,3
41.57603,78.82928,78.1151,74.19405,62.94707,3
41.59288,78.82928,78.1151,74.19405,62.94707,3
41.60992,78.82928,78.1151,74.19405,62.94707,3
41.62708,78.82928,78.1151,74.19405,62.94707,3
41.64413,78.82928,78.1151,74.19405,62.94707,3
41.66028,78.82928,78.1151,74.19405,62.94707,3
41.67723,78.82928,78.1151,74.19405,62.94707,3
41.69398,78.82928,78.1151,74.19405,62.94707,3
41.71083,78.82928,78.1151,74.19405,62.94707,3
41.72768,78.82928,78.1151,74.19405,62.94707,3
41.74453,78.82928,78.1151,74.19405,62.94707,3
41.76138,78.82928,78.1151,74.19405,62.94707,3
41.77838,78.82928,78.1151,74.19405,62.94707,3
41.79508,78.82928,78.1151,74.19405,62.94707,3
41.81251,78.82928,78.1151,74.19405,62.94707,3
41.82944,78.82928,78.1151,74.19405,62.94707,3
41.84562,78.82928,78.1151,74.19405,62.94707,3
41.86248,78.82928,78.1151,74.19405,62.94707,3
41.87949,78.82928,78.1151,74.19405,62.94707,3
41.89617,78.82928,78.1151,74.19405,62.94707,3
41.91302,78.82928,78.1151,74.19405,62.94707,3
41.92987,78.82928,78.1151,74.19405,62.94707,3
41.94672,78.82928,78.1151,74.19405,62.94707,3
41.96382,78.82928,78.1151,74.19405,62.94707,3
41.98081,78.82928,78.1151,74.19405,62.94707,3
41.99727,78.82928,78.1151,74.19405,62.94707,3
42.01412,78.82928,78.1151,74.19405,62.94707,3
42.03096,78.82928,78.1151,74.19405,62.94707,3
42.04782,78.82928,78.1151,74.19405,62.94707,3
42.06466,78.82928,78.1151,74.19405,62.94707,3
42.08151,78.82928,78.1151,74.19405,62.94707,3
42.09836,78.82928,78.1151,74.19405,62.94707,3
42.11597,78.82928,78.1151,74.19405,62.94707,3
42.13206,78.82928,78.1151,74.19405,62.94707,3
42.14904,78.82928,78.1151,74.19405,62.94707,3
42.16576,78.82928,78.1151,74.19405,62.94707,3
42.18261,78.82928,78.1151,74.19405,62.94707,3
42.2003,78.82928,78.1151,74.19405,62.94707,3
42.21637,78.82928,78.1151,74.19405,62.94707,3
42.23359,78.82928,78.1151,74.19405,62.94707,3
42.25001,78.82928,78.1151,74.19405,62.94707,3
42.26686,78.82928,78.1151,74.19405,62.94707,3
42.28385,80.70643,79.87607,68.27235,66.3064,3
42.3008,80.70643,79.87607,68.27235,66.3064,3
42.31741,80.70643,79.87607,68.27235,66.3064,3
42.33483,80.70643,79.87607,68.27235,66.3064,3
42.35111,80.70643,79.87607,68.27235,66.3064,3
42.36796,80.70643,79.87607,68.27235,66.3064,3
42.3849,80.70643,79.87607,68.27235,66.3064,3
42.40192,80.70643,79.87607,68.27235,66.3064,3
42.41896,80.70643,79.87607,68.27235,66.3064,3
42.43616,80.70643,79.87607,68.27235,66.3064,3
42.45253,80.70643,79.87607,68.27235,66.3064,3
42.46955,80.70643,79.87607,68.27235,66.3064,3
42.4859,80.70643,79.87607,68.27235,66.3064,3
42.50356,80.70643,79.87607,68.27235,66.3064,3
42.5196,80.70643,79.87607,68.27235,66.3064,3
42.53661,80.70643,79.87607,68.27235,66.3064,3
42.55366,80.70643,79.87607,68.27235,66.3064,3
42.57061,80.70643,79.87607,68.27235,66.3064,3
42.587,80.70643,79.87607,68.27235,66.3064,3
42.60385,80.70643,79.87607,68.27235,66.3064,3
42.62075,80.70643,79.87607,68.27235,66.3064,3
42.63773,80.70643,79.87607,68.27235,66.3064,3
42.65475,80.70643,79.87607,68.27235,66.3064,3
42.67176,80.70643,79.87607,68.27235,66.3064,3
42.6881,80.70643,79.87607,68.27235,66.3064,3
42.70494,80.70643,79.87607,68.27235,66.3064,3
42.72181,80.70643,79.87607,68.27235,66.3064,3
42.73886,80.70643,79.87607,68.27235,66.3064,3
42.756,80.70643,79.87607,68.27235,66.3064,3
42.77296,80.70643,79.87607,68.27235,66.3064,3
42.78993,80.70643,79.87607,68.27235,66.3064,3
42.80603,80.70643,79.87607,68.27235,66.3064,3
42.823,80.70643,79.87607,68.27235,66.3064,3
42.84,80.70643,79.87607,68.27235,66.3064,3
42.85711,80.70643,79.87607,68.27235,66.3064,3
42.87412,80.70643,79.87607,68.27235,66.3064,3
42.89028,80.70643,79.87607,68.27235,66.3064,3
42.90713,80.70643,79.87607,68.27235,66.3064,3
42.92424,80.70643,79.87607,68.27235,66.3064,3
42.94083,80.70643,79.87607,68.27235,66.3064,3
42.95768,80.70643,79.87607,68.27235,66.3064,3
42.97453,80.70643,79.87607,68.27235,66.3064,3
42.9915,80.70643,79.87607,68.27235,66.3064,3
43.00843,80.70643,79.87607,68.27235,66.3064,3
43.02507,80.70643,79.87607,68.27235,66.3064,3
43.04226,80.70643,79.87607,68.27235,66.3064,3
43.05877,80.70643,79.87607,68.27235,66.3064,3
43.07628,80.70643,79.87607,68.27235,66.3064,3
43.09247,80.70643,79.87607,68.27235,66.3064,3
43.10932,80.70643,79.87607,68.27235,66.3064,3
43.12629,80.70643,79.87607,68.27235,66.3064,3
43.14302,72.92117,71.74949,71.11516,67.018,3
43.15987,72.92117,71.74949,71.11516,67.018,3
43.17672,72.92117,71.74949,71.11516,67.018,3
43.19357,72.92117,71.74949,71.11516,67.018,3
43.21043,72.92117,71.74949,71.11516,67.018,3
43.22744,72.92117,71.74949,71.11516,67.018,3
43.24442,72.92117,71.74949,71.11516,67.018,3
43.26145,72.92117,71.74949,71.11516,67.018,3
43.27782,72.92117,71.74949,71.11516,67.018,3
43.29467,72.92117,71.74949,71.11516,67.018,3
43.31159,72.92117,71.74949,71.11516,67.018,3
43.32858,72.92117,71.74949,71.11516,67.018,3
43.34521,72.92117,71.74949,71.11516,67.018,3
43.36256,72.92117,71.74949,71.11516,67.018,3
43.37891,72.92117,71.74949,71.11516,67.018,3
43.39654,72.92117,71.74949,71.11516,67.018,3
43.41272,72.92117,71.74949,71.11516,67.018,3
43.42946,72.92117,71.74949,71.11516,67.018,3
43.44678,72.92117,71.74949,71.11516,67.018,3
43.46382,72.92117,71.74949,71.11516,67.018,3
43.48001,72.92117,71.74949,71.11516,67.018,3
43.49686,72.92117,71.74949,71.11516,67.018,3
43.51381,72.92117,71.74949,71.11516,67.018,3
43.53078,72.92117,71.74949,71.11516,67.018,3
43.54778,72.92117,71.74949,71.11516,67.018,3
43.56425,72.92117,71.74949,71.11516,67.018,3
43.58189,72.92117,71.74949,71.11516,67.018,3
